Codice,Codice Ateco,Primo livello (label ufficiale),Primo livello (label alternativa),Codice2,Codice Ateco 2,Secondo livello (label ufficiale),Secondo livello (label alternativa),Codice3,Codice Ateco 3,Terzo livello (label ufficiale),Terzo livello (label alternativa),Codice4,Codice Ateco 4,Quarto livello (label ufficiale),Quarto livello (label alternativa)
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.1,-,Albergo/Hotel,Alberghi,A.1.1,-,Albergo/Hotel,alberghi,A.1.1.1,-,Albergo/Hotel,alberghi
A,55.10.00,Struttura alberghiera  e paralberghiera,"Esercizio alberghiero e paralberghiero, Alberghiero",A.2,-,Motel,-,A.2.1,-,Motel,-,A.2.1.1,-,Motel,-
A,55.10.00,Struttura alberghiera  e paralberghiera,"Esercizio alberghiero e paralberghiero, Alberghiero",A.3,-,Villaggio albergo,Villaggi Alberghieri,A.3.1,-,Villaggio albergo,Villaggi Alberghieri,A.3.1.1,-,Villaggio albergo,Villaggi Alberghieri
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.4,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere",A.4.1,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere",A.4.1.1,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere"
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.5,-,Albergo diffuso,Alberghi diffusi,A.5.1,-,Albergo diffuso,Alberghi diffusi,A.5.1.1,-,Albergo diffuso,Alberghi diffusi
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.6,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere,A.6.1,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere,A.6.1.1,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.7,-,Bed & Breakfast organizzato in forma imprenditoriale,-,A.7.1,-,Bed & Breakfast organizzato in forma imprenditoriale,,A.7.1.1,-,Bed & Breakfast organizzato in forma imprenditoriale,-
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.8,-,Residenza della salute/beauty farm,-,A.8.1,-,Residenza della salute/beauty farm,,A.8.1.1,-,Residenza della salute/beauty farm,-
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.9,-,Albergo meublè o garnì,Albergo Garnì,A.9.1,-,Albergo meublè o garnì,Albergo Garnì,A.9.1.1,-,Albergo meublè o garnì,Albergo Garnì
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.10,-,Dimora storica,Dimore storiche,A.10.1,-,Dimora storica,Dimore storiche,A.10.1.1,-,Dimora storica,Dimore storiche
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.11,-,Centro congressi e conferenze,Centri congressi e conferenze,A.11.1,-,Centro congressi e conferenze,Centri congressi e conferenze,A.11.1.1,-,Centro congressi e conferenze,Centri congressi e conferenze
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.12,-,Condhotel,-,A.12.1,-,Condhotel,-,A.12.1.1,-,Condhotel,-
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.1,-,Affittacamere,"Affitta Camere, esercizi di affittacamere"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.2,-,Attività ricettiva in esercizio di ristorazione,Attività ricettive in esercizio di ristorazione
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.3,-,Unità abitativa ammobiliata a uso turistico,"Unità abitative ammobiliata a uso turistico, locande turistiche"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.4,-,Struttura ricettiva - residence,Residence
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.5,-,Residenza d'epoca extraalberghiera,-
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.1,56.20.51,Alloggio in affitto gestito in forma imprenditoriale,Alloggi in affitto gestiti in forma imprenditoriale,B.1.1.6,-,Casa e appartamento per vacanza,"Case e appartamenti per vacanza, Casa appartamento vacanze"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.2,56.20.52,Agriturismo,Agriturismi,B.1.2.1,-,Alloggio in ambito di attività agrituristica,-
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.3,55.20.20,Ostello per la gioventù,Ostelli per la gioventù,B.1.3.1,55.20.20,Ostello per la gioventù,"Ostelli per la gioventù, Ostello, Casa della gioventù, Case della gioventù"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.1,55.20.40,Casa per ferie,Case per ferie
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.2,-,Foresteria per turisti,"Foresterie, foresterie lombarde"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.3,-,Centro di vacanza per minore,"Centri di vacanza per minore, Centro vacanze per ragazzi, Centri vacanze per ragazzi"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.4,-,Colonia,Colonie
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.5,-,Pensione universitaria,Pensionati universitari
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.6,-,Casa per esercizi spirituali,Case per esercizi spirituali
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.7,-,Casa religiosa di ospitalità,Case religiose di ospitalità
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.4,55.20.40,Casa per ferie,Case per ferie,B.1.4.8,-,Centro soggiorno studi,Centro soggiorno sociale
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.5,55.20.30,Rifugio di montagna,Rifugi di montagna,B.1.5.1,-,Rifugio escursionistico,Rifugi escursionistici
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.5,55.20.30,Rifugio di montagna,Rifugi di montagna,B.1.5.2,-,Rifugio alpino,"Rifiugi alpini, Rifugi"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.5,55.20.30,Rifugio di montagna,Rifugi di montagna,B.1.5.3,-,Rifiugio sociale d'alta montagna,Rifugi sociali d'alta montagna
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.5,55.20.30,Rifugio di montagna,Rifugi di montagna,B.1.5.4,-,Rifugio-albergo,Rifugi-albergo
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.5,55.20.30,Rifugio di montagna,Rifugi di montagna,B.1.5.5,-,Bivacco,"Bivacchi, bivacchi fissi"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",B.1,-,Struttura complementare ,Esercizio complementare,B.1.6,55.20.51,Altro esercizio ricettivo n.a.c,Altri esercizi ricettivi n.a.c,B.1.6.1,-,Attività ricettive in residenze rurali o country house,"Residenza rurale, Country House, Residenze rurali, Esercizi rurali"
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",C.1,-,Alloggio privato in affito,Alloggi privati in affitto,C.1.1,55.20.51,Bed & Breakfast a conduzione familiare,Bed & Braakfast,C.1.1.1,-,Bed & Breakfast a conduzione familiare,Bed & Braakfast
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",C.2,-,Altro alloggio  privato,Altri alloggi  privati,C.2.1,-,Camera in affitto in alloggi familiari,Camere in affitto in alloggi familiari,C.2.1.1,-,Camera in affitto in alloggi familiari,Camere in affitto in alloggi familiari
BC,-,Struttura extralberghiera ,"Esercizio extra-alberghiero, Extra alberghiero",C.2,-,Altro alloggio  privato,Altri alloggi  privati,C.2.2,-,Chalet,locande,C.2.2.1,,Chalet,locande
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.1,55.30.00,Campeggio e area attrezzata per camper e roulotte,Campeggi e aree attrezzate per camper e roulotte,D.1.1.1,-,Campeggio,"campeggi, Camping"
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.1,55.30.00,Campeggio e area attrezzata per camper e roulotte,Campeggi e aree attrezzate per camper e roulotte,D.1.1.2,-,Campeggio A,Campeggi A
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.1,55.30.00,Campeggio e area attrezzata per camper e roulotte,Campeggi e aree attrezzate per camper e roulotte,D.1.1.3,-,Campeggio nell'ambito di attività agrituristiche,Campeggi nell'ambito di attività agrituristiche
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.2,55.20.10,Villaggio turistico,Villaggi turistici,D.1.2.1,.,Villaggio turistico,villaggi turistici
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.2,55.20.10,Villaggio turistico,Villaggi turistici,D.1.2.2.,-,Villaggio turistico A,Villaggi turistici A
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.1,-,Struttura ricettiva all'aperto complementare ,Esercizio ricettivo all'aperto complementare,D.1.3,55.30.00,Campeggio e villaggio turistico (forma mista),"Campeggi e villaggi turistici (forma mista), camping-village",D.1.3.1,-,Campeggio e villaggio turistico (forma mista),"Campeggi e villaggi turistici (forma mista), camping-village"
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.2,-,Parco Vacanze,parchi di vacanza,D.2.1,-,Parco Vacanze,parchi di vacanza,D.2.1.1,-,Parco Vacanze,-
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.3,,Stabilimento balneare,Stabilimenti balneari,D.3.1,-,Stabilimento balneare,Stabilimenti balneari,D.3.1.1,-,Stabilimento balneare,Stabilimenti balneari
D,-,Struttura ricettiva all'aperto,aziende ricettive all'aria aperta,D.4,.,Marina resort,-,D.4.1,-,Marina resort,.,D.4.1.1,-,Marina resort,-
E,-,Struttura di mero supporto,-,E.1,,Area di sosta,aree di sosta,E.1.1,-,Area di sosta,aree di sosta,E.1.1.1,-,Area di sosta,aree di sosta
